"Navigate","Next","Ctrl+.","In Windows","org.eclipse.ui.navigate.next"
"Navigate","Next Page","Alt+F7","In Windows","org.eclipse.ui.part.nextPage"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text","org.eclipse.ui.edit.text.toggleInsertMode"
"Views","Show View","Shift+Alt+Q Q","In Windows","org.eclipse.ui.views.showView"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text","org.eclipse.ui.edit.text.join.lines"
"Result Set","Toggle result panels","Ctrl+7","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.togglePreview"
"Result Set","Duplicate row","Ctrl+Alt+Insert","Results viewer context","org.jkiss.dbeaver.core.resultset.row.copy"
"Connection","Open SQL script","Ctrl+[","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.open"
"Connection","Commit","Ctrl+4","In Windows","org.jkiss.dbeaver.core.commit"
"Project","Build All","Ctrl+B","In Windows","org.eclipse.ui.project.buildAll"
"Utility","Advanced Copy","Shift+Ctrl+C","In Windows","org.jkiss.dbeaver.core.edit.copy.special"
"File","Save","Ctrl+S","In Windows","org.eclipse.ui.file.save"
"File","Close","Ctrl+W","In Windows","org.eclipse.ui.file.close"
"Text Editing","Move Lines Down","Shift+Ctrl+Down","SQL Editor Context","org.eclipse.ui.edit.text.moveLineDown"
"Window","Next Editor","Ctrl+F6","In Windows","org.eclipse.ui.window.nextEditor"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text","org.eclipse.ui.edit.findIncrementalReverse"
"Result Set","Switch presentation","Ctrl+`","Results viewer context","org.jkiss.dbeaver.core.resultset.switchPresentation"
"Window","Quick Switch Editor","Ctrl+E","In Windows","org.eclipse.ui.window.openEditorDropDown"
"SQL Editor","Open Declaration","F4","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.navigate.object"
"Connection","Open Dashboard","Shift+Ctrl+Alt+B","DBeaver Perspective","org.jkiss.dbeaver.ui.dashboard.open"
"Result Set","First row","Shift+Ctrl+Alt+Left","Results viewer context","org.jkiss.dbeaver.core.resultset.row.first"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text","org.eclipse.quickdiff.toggle"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.expand_all"
"Edit","Cut","Ctrl+X","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"Connection","Rollback","Ctrl+8","In Windows","org.jkiss.dbeaver.core.rollback"
"Navigate","Go to Line","Ctrl+L","Editing Text","org.eclipse.ui.edit.text.goto.line"
"File","New menu","Shift+Alt+N","In Windows","org.eclipse.ui.file.newQuickMenu"
"Edit","Cut","Shift+Delete","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"Edit","Word Completion","Alt+/","Editing Text","org.eclipse.ui.edit.text.hippieCompletion"
"Text Editing","Previous Word","Ctrl+Left","Editing Text","org.eclipse.ui.edit.text.goto.wordPrevious"
"Result Set","Previous row","Ctrl+Alt+Left","Results viewer context","org.jkiss.dbeaver.core.resultset.row.previous"
"Result Set","Navigate link","Alt+Space","Results viewer context","org.jkiss.dbeaver.core.resultset.navigateLink"
"Window","Previous View","Shift+Ctrl+F7","In Windows","org.eclipse.ui.window.previousView"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows","org.eclipse.ui.edit.text.contentAssist.contextInformation"
"Navigate","Next Tab","Ctrl+Alt+Right","In Dialogs and Windows","org.eclipse.ui.navigate.nextTab"
"Text Editing","Select Line Start","Shift+Home","Editing Text","org.eclipse.ui.edit.text.select.lineStart"
"SQL Editor","Execute SQL Script","Alt+X","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.script"
"Window","Next Perspective","Ctrl+F8","In Windows","org.eclipse.ui.window.nextPerspective"
"Edit","Incremental Find","Ctrl+J","Editing Text","org.eclipse.ui.edit.findIncremental"
"Connection","New SQL script","Ctrl+]","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.create"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows","org.eclipse.ui.window.showViewMenu"
"SQL Editor","Toggle Block Comment","Shift+Ctrl+/","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.comment.multi"
"Text Editing","Move Lines Up","Alt+Up","Editing Text","org.eclipse.ui.edit.text.moveLineUp"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.restore"
"Result Set","References","Ctrl+1","Results viewer context","org.jkiss.dbeaver.core.resultset.referencesMenu"
"View","Zoom In","Ctrl+=","In Windows","org.eclipse.gef.zoom_in"
"Utility","Advanced Paste","Shift+Ctrl+V","In Windows","org.jkiss.dbeaver.core.edit.paste.special"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows","org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows","org.eclipse.ui.views.showView"
"Result Set","Delete current row","Alt+Delete","Results viewer context","org.jkiss.dbeaver.core.resultset.row.delete"
"Result Set","Activate filter/data editor","Shift+Ctrl+Alt+T","Results viewer context","org.jkiss.dbeaver.core.resultset.focus.filter"
"Window","Activate Editor","F12","In Windows","org.eclipse.ui.window.activateEditor"
"Edit","Copy","Ctrl+C","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"Connection","New SQL script","Ctrl+F3","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.create"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text","org.eclipse.ui.edit.text.select.wordNext"
"Edit","Find and Replace","Ctrl+F","In Windows","org.eclipse.ui.edit.findReplace"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows","org.eclipse.ui.window.maximizePart"
"SQL Editor","Explain Execution Plan","Shift+Ctrl+E","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.explain"
"Result Set","Filter menu","F11","Results viewer context","org.jkiss.dbeaver.core.resultset.filterMenu"
"File","Properties","Alt+Enter","In Windows","org.eclipse.ui.file.properties"
"Result Set","Fetch Next Page","Ctrl+Alt+;","Results viewer context","org.jkiss.dbeaver.core.resultset.fetch.page"
"SQL Editor","Previous query","Alt+Up","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.query.prev"
"Navigate","Previous","Ctrl+,","In Windows","org.eclipse.ui.navigate.previous"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows","org.eclipse.ui.window.splitEditor"
"Result Set","Filter by value","Ctrl+F11","Results viewer context","org.jkiss.dbeaver.core.resultset.filterMenu.distinct"
"File","Print","Ctrl+P","In Windows","org.eclipse.ui.file.print"
"Edit","Paste","Shift+Insert","In Dialogs and Windows","org.eclipse.ui.edit.paste"
"Result Set","Edit cell","Shift+Enter","Results viewer context","org.jkiss.dbeaver.core.resultset.row.edit"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text","org.eclipse.ui.edit.text.smartEnter"
"Result Set","Last row","Shift+Ctrl+Alt+Right","Results viewer context","org.jkiss.dbeaver.core.resultset.row.last"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows","org.eclipse.ui.edit.redo"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows","org.eclipse.ui.window.spy"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows","org.eclipse.ui.views.showView"
"Text Editing","Text Start","Ctrl+Home","Editing Text","org.eclipse.ui.edit.text.goto.textStart"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text","org.eclipse.ui.edit.text.scroll.lineDown"
"Edit","Context Information","Ctrl+Alt+Space","SQL Editor Context","org.eclipse.ui.edit.text.contentAssist.contextInformation"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows","org.eclipse.ui.navigate.previousSubTab"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text","org.eclipse.ui.edit.text.folding.expand"
"Text Editing","Move Lines Down","Alt+Down","Editing Text","org.eclipse.ui.edit.text.moveLineDown"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows","org.eclipse.ui.window.previousEditor"
"SQL Editor","Set connection from navigator","Shift+Ctrl+.","Database navigator context","org.jkiss.dbeaver.ui.editors.sql.sync.connection"
"Text Editing","Zoom In","Ctrl++","Editing Text","org.eclipse.ui.edit.text.zoomIn"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows","org.eclipse.ui.views.showView"
"Connection","Open Database Object ...","Shift+Ctrl+D","In Windows","org.jkiss.dbeaver.core.object.goto"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows","org.eclipse.ui.window.showKeyAssist"
"Result Set","Next row","Ctrl+Alt+Right","Results viewer context","org.jkiss.dbeaver.core.resultset.row.next"
"Window","Show System Menu","Alt+-","In Windows","org.eclipse.ui.window.showSystemMenu"
"Window","Toggle Full Screen","Alt+F11","In Dialogs and Windows","org.eclipse.ui.window.fullscreenmode"
"Navigate","Previous Tab","Ctrl+Alt+Left","In Dialogs and Windows","org.eclipse.ui.navigate.previousTab"
"Navigate","Next Edit Location","Ctrl+Alt+Right","In Windows","org.eclipse.ui.edit.text.gotoNextEditPosition"
"Result Set","Apply cell changes","Shift+Ctrl+Alt+Enter","Results edit context","org.jkiss.dbeaver.core.resultset.cell.save"
"Text Editing","Next Word","Ctrl+Right","Editing Text","org.eclipse.ui.edit.text.goto.wordNext"
"Result Set","Toggle results sort order","Ctrl+2","Results viewer context","org.jkiss.dbeaver.core.resultset.toggleOrder"
"Text Editing","Line Start","Home","Editing Text","org.eclipse.ui.edit.text.goto.lineStart"
"SQL Editor","Rename SQL Script","Ctrl+F2","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.rename"
"Oracle","Compile","Ctrl+F9","In Windows","org.jkiss.dbeaver.ext.oracle.code.compile"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.collapse_all"
"Connection","Select active schema","Ctrl+0","In Windows","org.jkiss.dbeaver.ui.tools.select.schema"
"Result Set","Fetch All Data","Shift+Ctrl+=","Results viewer context","org.jkiss.dbeaver.core.resultset.fetch.all"
"Edit","Find Next","Ctrl+K","In Windows","org.eclipse.ui.edit.findNext"
"SQL Editor","Show server output","Shift+Ctrl+O","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.show.output"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text","org.eclipse.ui.edit.text.folding.collapse"
"View","Zoom Out","Ctrl+-","In Windows","org.eclipse.gef.zoom_out"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text","org.eclipse.ui.edit.text.upperCase"
"SQL Editor","Execute SQL Statement","Ctrl+Enter","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.statement"
"SQL Editor","Execute SQL in new tab","Ctrl+\","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.statementNew"
"Result Set","Activate results/panel","Shift+Ctrl+7","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.activatePreview"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text","org.eclipse.ui.edit.text.lowerCase"
"Connection","Recent SQL script","Ctrl+Enter","Database navigator context","org.jkiss.dbeaver.core.sql.editor.recent"
"Result Set","Add row","Alt+Insert","Results viewer context","org.jkiss.dbeaver.core.resultset.row.add"
"Result Set","Set to default","Ctrl+Backspace","Results viewer context","org.jkiss.dbeaver.core.resultset.cell.setDefault"
"Navigate","Go to Line","Ctrl+G","In Windows","org.eclipse.ui.edit.text.goto.line"
"Result Set","Toggle Grid/Record view","Tab","Results viewer context","org.jkiss.dbeaver.core.resultset.toggleMode"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.toggle"
"Text Editing","Zoom In","Ctrl+=","Editing Text","org.eclipse.ui.edit.text.zoomIn"
"File","Close","Ctrl+F4","In Windows","org.eclipse.ui.file.close"
"SQL Editor","Toggle Word Wrap","Shift+Ctrl+Alt+W","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.word.wrap"
"Quick Search","Quick Search","Shift+Ctrl+Alt+F","In Windows","org.eclipse.text.quicksearch.commands.quicksearchCommand"
"Search","Open Search Dialog","Ctrl+H","In Windows","org.eclipse.search.ui.openSearchDialog"
"Text Editing","Select Line End","Shift+End","Editing Text","org.eclipse.ui.edit.text.select.lineEnd"
"Connection","Edit Object","F4","Database navigator context","org.jkiss.dbeaver.core.object.open"
"Database Navigator","Link with editor","Shift+Ctrl+,","In Windows","org.jkiss.dbeaver.core.navigator.linkeditor"
"Navigate","Previous Page","Shift+Alt+F7","In Windows","org.eclipse.ui.part.previousPage"
"SQL Editor","Switch active panel","Alt+6","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.switch.panel"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows","org.eclipse.ui.navigate.expandAll"
"File","New","Ctrl+N","In Windows","org.eclipse.ui.newWizard"
"SQL Editor","Import SQL script","Shift+Ctrl+Alt+O","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.open.file"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows","org.eclipse.ui.window.previousPerspective"
"Result Set","Reject changes","Ctrl+R","Results viewer context","org.jkiss.dbeaver.core.resultset.rejectChanges"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows","org.eclipse.ui.views.showView"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text","org.eclipse.ui.edit.text.delete.line.to.end"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows","org.eclipse.ui.views.showView"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows","org.eclipse.search.ui.performTextSearchWorkspace"
"Connection","Generate UUID","Shift+Ctrl+Alt+U","In Windows","org.jkiss.dbeaver.core.generate.uuid"
"Quick Search","Quick Search","Shift+Ctrl+Alt+L","In Windows","org.eclipse.text.quicksearch.commands.quicksearchCommand"
"File","Rename","F2","In Windows","org.eclipse.ui.edit.rename"
"Result Set","References","Shift+Ctrl+1","Results viewer context","org.jkiss.dbeaver.core.resultset.referencesMenu"
"SQL Editor","Select row count","Shift+Ctrl+Alt+C","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.count"
"Edit","Content Assist","Ctrl+Space","SQL Editor Context","org.eclipse.ui.edit.text.contentAssist.proposals"
"Text Editing","Show Tooltip Description","F2","Editing Text","org.eclipse.ui.edit.text.showInformation"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text","org.eclipse.ui.edit.text.select.wordPrevious"
"Navigate","Forward History","Alt+Right","In Windows","org.eclipse.ui.navigate.forwardHistory"
"Connection","Open SQL console","Ctrl+Alt+Enter","Database navigator context","org.jkiss.dbeaver.core.sql.editor.console"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text","org.eclipse.ui.edit.text.copyLineDown"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows","org.eclipse.ui.edit.text.contentAssist.proposals"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows","org.eclipse.ui.views.showView"
"Result Set","Reset cell changes","Esc","Results viewer context","org.jkiss.dbeaver.core.resultset.cell.reset"
"Text Editing","Text End","Ctrl+End","Editing Text","org.eclipse.ui.edit.text.goto.textEnd"
"Database Navigator","Add Bookmark","Shift+Ctrl+Alt+D","Database navigator view context","org.jkiss.dbeaver.core.navigator.bookmark.add"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text","org.eclipse.ui.edit.text.scroll.lineUp"
"SQL Editor","Execute Statements In Separate Tabs","Shift+Ctrl+Alt+X","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.scriptNew"
"Navigate","Previous Edit Location","Ctrl+Alt+Left","In Windows","org.eclipse.ui.edit.text.gotoLastEditPosition"
"Navigate","Show In...","Shift+Alt+W","In Windows","org.eclipse.ui.navigate.showInQuickMenu"
"Edit","Find Previous","Shift+Ctrl+K","In Windows","org.eclipse.ui.edit.findPrevious"
